City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,angaur state,6.906,134.13,28.56,74,26,2.53,PW,1687228957
244,howrah,22.5892,88.3103,32.0,79,40,6.17,IN,1687228957
245,ola,59.5833,151.2833,13.39,74,34,3.5,RU,1687228957
246,miandoab,36.9694,46.1027,17.21,34,0,2.34,IR,1687228958
247,i-n-salah,27.1935,2.4607,34.69,9,1,3.23,DZ,1687228958
248,svetlyy,54.675,20.1347,13.87,89,3,2.66,RU,1687228958
249,carbonear,47.7332,-53.2148,7.46,97,100,3.95,CA,1687228958
250,heilbron,-27.2812,27.9709,3.09,57,0,3.47,ZA,1687228958
251,cabedelo,-6.9811,-34.8339,24.37,84,17,4.15,BR,1687228670
252,coronel suarez,-37.4547,-61.9334,10.08,77,100,2.93,AR,1687228959
253,touros,-5.1989,-35.4608,24.46,88,100,5.14,BR,1687228959
254,qom,34.6401,50.8764,27.66,27,0,2.43,IR,1687228959
255,el idrissia,34.4454,2.5275,25.18,17,1,10.42,DZ,1687228959
256,cockburn town,21.4612,-71.1419,28.42,77,76,8.76,TC,1687228959
257,hemsby,52.6971,1.6918,16.66,89,100,3.43,GB,1687228959
258,faya-largeau,17.9257,19.1043,33.99,15,63,9.79,TD,1687228960
259,nogliki,51.8333,143.1667,10.17,81,84,4.03,RU,1687228960
260,aripuana,-9.1667,-60.6333,24.95,62,49,0.15,BR,1687228960
261,pedreira,-22.7419,-46.9014,14.37,84,0,2.43,BR,1687228960
262,saveni,47.95,26.8667,20.1,92,100,1.96,RO,1687228960
263,omoku,5.3435,6.6532,23.22,99,100,0.93,NG,1687228960
264,las heras,-46.5419,-68.9359,-0.86,63,0,4.81,AR,1687228961
265,tutoia,-2.7619,-42.2744,25.52,87,7,2.23,BR,1687228961
266,copiapo,-27.3667,-70.3333,11.83,53,100,0.89,CL,1687228961
267,nova sintra,14.8667,-24.7167,21.09,84,67,2.25,CV,1687228961
268,buston,40.2342,69.6948,27.1,39,100,2.0,TJ,1687228961
269,berezovyy,51.6667,135.7,25.77,43,100,2.13,RU,1687228961
270,new norfolk,-42.7826,147.0587,10.95,55,90,1.34,AU,1687228961
271,suntar,62.1444,117.6319,9.49,79,100,4.64,RU,1687228962
272,yelizovo,53.1873,158.3805,10.08,87,75,4.02,RU,1687228962
273,illizi,26.4833,8.4667,29.89,16,0,7.92,DZ,1687228962
274,kitui,-1.367,38.0106,16.27,88,67,2.25,KE,1687228962
275,dalandzadgad,43.5708,104.425,25.39,15,44,0.78,MN,1687228962
276,uitenhage,-33.7576,25.3971,11.9,63,98,7.84,ZA,1687228963
277,port hedland,-20.3167,118.5667,17.03,100,100,3.09,AU,1687228762
278,igrim,63.1906,64.4162,7.17,77,100,5.7,RU,1687228963
279,malango,-2.9627,119.9001,24.88,80,88,1.48,ID,1687228963
280,waajid,3.8096,43.2463,21.3,88,63,6.8,SO,1687228964
281,arkalyk,50.2486,66.9114,11.11,57,3,6.12,KZ,1687228964
282,parintins,-2.6283,-56.7358,24.5,84,63,0.31,BR,1687228964
283,sidi akkacha,36.4647,1.3026,23.16,86,48,2.72,DZ,1687228964
284,kourou,5.1552,-52.6478,25.03,90,12,1.31,GF,1687228964
285,sao gabriel da cachoeira,-0.1303,-67.0892,22.47,97,92,0.8,BR,1687228965
286,sao jose da coroa grande,-8.8978,-35.1478,24.24,87,89,2.79,BR,1687228965
287,midvagur,62.0511,-7.1939,12.46,94,100,7.72,FO,1687228965
288,vredendal,-31.6683,18.5012,8.9,86,25,0.99,ZA,1687228965
289,crane,31.3974,-102.3501,36.04,13,14,2.68,US,1687228965
290,vilyuchinsk,52.9306,158.4028,10.15,89,100,1.85,RU,1687228966
291,ar ruseris,11.8659,34.3869,24.9,76,77,2.82,SD,1687228966
292,laguna,38.421,-121.4238,23.63,45,0,6.17,US,1687228877
293,pleiku,13.9833,108.0,28.81,56,12,3.65,VN,1687228966
294,saint-philippe,-21.3585,55.7679,20.77,75,68,4.64,RE,1687228966
295,akrehamn,59.2667,5.1833,16.9,94,99,1.54,NO,1687228966
296,fortuna,40.5982,-124.1573,14.43,71,20,4.63,US,1687228967
297,lihue,21.9789,-159.3672,27.58,69,40,5.14,US,1687228747
298,itamaraca,-7.7478,-34.8256,24.03,88,27,2.36,BR,1687228967
299,la passe,45.5549,-0.8967,21.13,95,100,6.05,FR,1687228967
300,hasaki,35.7333,140.8333,25.16,65,94,4.66,JP,1687228967
301,katsuren-haebaru,26.3369,127.8719,30.21,74,75,4.12,JP,1687228967
302,karystos,38.0133,24.4161,24.68,49,0,1.34,GR,1687228968
303,tromso,69.6496,18.957,15.21,82,20,2.57,NO,1687228968
304,stornoway,58.2093,-6.3865,15.05,90,75,7.72,GB,1687228968
305,tura,25.5198,90.2201,26.44,83,74,2.87,IN,1687228968
306,claiborne,32.516,-92.1918,28.84,70,100,3.09,US,1687228968
307,badiyah,22.45,58.8,32.38,32,37,1.41,OM,1687228968
308,puerto aysen,-45.4,-72.7,-2.59,94,22,1.18,CL,1687228969
309,brushy creek,30.5135,-97.7397,34.51,63,0,2.06,US,1687228969
310,east london,-33.0153,27.9116,13.61,48,4,10.85,ZA,1687228969
311,ta`u,-14.2336,-169.5144,26.82,75,1,1.1,AS,1687228969
312,am timan,11.0297,20.2827,23.88,82,100,3.05,TD,1687228969
